clave,entidad,municipio,poblacion,ing_corr_tot_pc,anios_esc_mean,anios_esc_esp,ss_subin_salud,se_subin_educ,si_subin_ing,idh,gini,,
13049,Hidalgo,Pisaflores,18723,2136.158,6.446,10.421,0.892,0.504,0.673,0.671,0.33,,
13050,Hidalgo,Progreso de Obregón,23641,4002.008,9.949,13.996,0.868,0.72,0.768,0.783,0.31,,
13051,Hidalgo,Mineral de la Reforma,202749,4891.068,12.026,14.956,0.897,0.816,0.798,0.836,0.32,,
13052,Hidalgo,San Agustín Tlaxiaca,38891,3178.434,8.779,13.66,0.878,0.672,0.733,0.756,0.32,,
13053,Hidalgo,San Bartolo Tutotepec,17699,2287.258,5.512,12.194,0.865,0.522,0.683,0.676,0.39,,
13054,Hidalgo,San Salvador,36796,2918.885,9.153,14.264,0.885,0.701,0.72,0.764,0.32,,
13055,Hidalgo,Santiago de Anaya,18329,2765.06,8.239,13.516,0.879,0.65,0.712,0.741,0.3,,
13056,Hidalgo,Santiago Tulantepec de Lugo Guerrero,39561,3495.124,9.116,12.658,0.867,0.655,0.747,0.751,0.32,,
13057,Hidalgo,Singuilucan,15142,2683.813,7.404,11.974,0.873,0.579,0.708,0.71,0.31,,
13058,Hidalgo,Tasquillo,17441,2722.592,8.019,13.615,0.87,0.645,0.71,0.736,0.34,,
13059,Hidalgo,Tecozautla,38010,2820.315,7.349,12.594,0.866,0.595,0.715,0.717,0.29,,
13060,Hidalgo,Tenango de Doria,17503,2293.688,6.814,12.177,0.876,0.565,0.684,0.697,0.38,,
13061,Hidalgo,Tepeapulco,56245,3827.553,9.9,14.022,0.89,0.72,0.761,0.787,0.31,,
13062,Hidalgo,Tepehuacán de Guerrero,31235,1505.882,5.156,10.736,0.862,0.47,0.62,0.631,0.32,,
13063,Hidalgo,Tepeji del Río de Ocampo,90546,3571.217,8.808,12.573,0.895,0.643,0.751,0.756,0.31,,
13064,Hidalgo,Tepetitlán,10830,2639.795,7.93,12.524,0.877,0.612,0.705,0.723,0.3,,
13065,Hidalgo,Tetepango,11768,2924.943,8.428,13.43,0.852,0.654,0.721,0.738,0.31,,
13066,Hidalgo,Villa de Tezontepec,13032,3065.41,8.724,12.628,0.87,0.642,0.728,0.741,0.32,,
13067,Hidalgo,Tezontepec de Aldama,55134,2785.905,8.584,13.124,0.884,0.651,0.713,0.743,0.32,,
13068,Hidalgo,Tianguistengo,14340,1623.567,5.152,11.683,0.855,0.496,0.632,0.645,0.35,,
13069,Hidalgo,Tizayuca,168302,3772.638,9.889,13.244,0.897,0.698,0.759,0.78,0.3,,
13070,Hidalgo,Tlahuelilpan,19067,3337.524,9.021,13.119,0.89,0.665,0.741,0.76,0.33,,
13071,Hidalgo,Tlahuiltepa,9086,1816.409,5.231,10.716,0.888,0.472,0.649,0.648,0.31,,
13072,Hidalgo,Tlanalapa,11113,3510.837,9.921,13.884,0.886,0.716,0.748,0.78,0.31,,
13073,Hidalgo,Tlanchinol,37722,1592.523,6.118,11.893,0.873,0.534,0.629,0.665,0.39,,
13074,Hidalgo,Tlaxcoapan,28626,3184.8,8.902,13.191,0.885,0.663,0.733,0.755,0.33,,
13075,Hidalgo,Tolcayuca,21362,3046.664,8.508,13.108,0.88,0.648,0.727,0.745,0.3,,
13076,Hidalgo,Tula de Allende,115107,4341.255,9.674,13.052,0.886,0.685,0.78,0.779,0.32,,
13077,Hidalgo,Tulancingo de Bravo,168369,3580.327,9.207,13.524,0.893,0.683,0.751,0.771,0.33,,
13078,Hidalgo,Xochiatipan,18260,1316.903,5.196,11.797,0.825,0.501,0.6,0.628,0.3,,
13079,Hidalgo,Xochicoatlán,7015,2400.559,7.802,13.485,0.871,0.635,0.691,0.726,0.37,,
13080,Hidalgo,Yahualica,24674,1669.886,5.299,12.317,0.89,0.519,0.636,0.665,0.32,,
13081,Hidalgo,Zacualtipán de Ángeles,38155,2896.076,8.216,13.186,0.887,0.64,0.719,0.742,0.33,,
13082,Hidalgo,Zapotlán de Juárez,21443,3318.077,8.804,13.369,0.863,0.665,0.74,0.752,0.3,,
13083,Hidalgo,Zempoala,57906,3777.196,10.275,14.174,0.886,0.736,0.759,0.791,0.34,,
13084,Hidalgo,Zimapán,39927,3228.634,8.225,13.949,0.877,0.662,0.736,0.753,0.33,,
14001,Jalisco,Acatic,23175,4299.79,6.663,10.838,0.885,0.523,0.779,0.712,0.32,,
14002,Jalisco,Acatlán de Juárez,25250,4233.857,8.672,12.135,0.903,0.626,0.776,0.76,0.31,,
14003,Jalisco,Ahualulco de Mercado,23630,4259.637,9.159,12.941,0.886,0.665,0.777,0.771,0.33,,
14004,Jalisco,Amacueca,5743,3320.628,7.693,11.128,0.829,0.566,0.74,0.703,0.38,,
14005,Jalisco,Amatitán,16490,3734.063,8.459,12.464,0.829,0.628,0.757,0.733,0.33,,
14006,Jalisco,Ameca,60386,4058.277,8.588,12.742,0.801,0.64,0.77,0.734,0.35,,
14007,Jalisco,San Juanito de Escobedo,9433,3575.745,7.874,13.24,0.9,0.63,0.751,0.752,0.38,,
14008,Jalisco,Arandas,80609,4160.238,7.613,11.457,0.872,0.572,0.774,0.728,0.33,,
14009,Jalisco,El Arenal,21115,4195.058,8.764,12.093,0.888,0.628,0.775,0.756,0.32,,
14010,Jalisco,Atemajac de Brizuela,7758,2379.992,6.937,10.337,0.879,0.518,0.689,0.68,0.44,,
14011,Jalisco,Atengo,5599,2802.513,6.835,12.479,0.875,0.574,0.714,0.711,0.43,,
14012,Jalisco,Atenguillo,4176,4783.5,7.507,12.265,0.901,0.591,0.795,0.751,0.36,,
14013,Jalisco,Atotonilco el Alto,64009,3939.473,7.779,10.966,0.857,0.564,0.766,0.718,0.34,,
14014,Jalisco,Atoyac,8689,3661.757,6.719,11.908,0.874,0.555,0.755,0.715,0.36,,
14015,Jalisco,Autlán de Navarro,64931,4483.524,9.105,13.178,0.844,0.67,0.785,0.763,0.35,,
14016,Jalisco,Ayotlán,41552,3200.514,6.63,11.082,0.865,0.529,0.734,0.695,0.33,,
14017,Jalisco,Ayutla,12880,3724.203,7.426,11.667,0.901,0.572,0.757,0.73,0.37,,
14018,Jalisco,La Barca,67937,3776.79,8.239,11.737,0.879,0.601,0.759,0.737,0.35,,
14019,Jalisco,Bolaños,7043,2535,6.295,11.296,0.765,0.524,0.699,0.654,0.51,,
14020,Jalisco,Cabo Corrientes,10940,3198.124,7.03,11.288,0.827,0.548,0.734,0.693,0.34,,
14021,Jalisco,Casimiro Castillo,20548,3730.802,7.719,11.669,0.833,0.581,0.757,0.716,0.32,,
14022,Jalisco,Cihuatlán,40139,3750.655,8.102,12.002,0.869,0.603,0.758,0.735,0.33,,
14023,Jalisco,Zapotlán el Grande,115141,4830.489,10.422,14.33,0.891,0.745,0.796,0.809,0.35,,
14024,Jalisco,Cocula,29267,4026.943,8.316,12.673,0.763,0.629,0.769,0.717,0.34,,
14025,Jalisco,Colotlán,19689,4205.646,8.83,14.281,0.835,0.691,0.775,0.765,0.36,,
14026,Jalisco,Concepción de Buenos Aires,6334,3837.957,6.981,11.742,0.815,0.559,0.762,0.703,0.36,,
14027,Jalisco,Cuautitlán de García Barragán,18370,2430.903,6.46,12.383,0.807,0.559,0.693,0.679,0.39,,
14028,Jalisco,Cuautla,2166,3455.868,6.946,11.689,0.848,0.556,0.746,0.706,0.38,,
14029,Jalisco,Cuquío,17820,3266.843,6.534,11.206,0.859,0.529,0.737,0.694,0.36,,
14030,Jalisco,Chapala,55196,4484.775,9.153,11.392,0.888,0.622,0.785,0.757,0.37,,
14031,Jalisco,Chimaltitán,3270,1941.083,5.998,11.383,0.842,0.516,0.659,0.659,0.47,,
14032,Jalisco,Chiquilistlán,5983,2453.793,7.062,10.926,0.877,0.539,0.694,0.69,0.46,,
14033,Jalisco,Degollado,21226,3573.406,6.363,9.563,0.884,0.478,0.751,0.682,0.36,,
14034,Jalisco,Ejutla,1981,4169.257,7.24,11.726,0.896,0.567,0.774,0.733,0.38,,
14035,Jalisco,Encarnación de Díaz,53039,3653.781,7.257,10.886,0.853,0.544,0.754,0.705,0.33,,
14036,Jalisco,Etzatlán,20011,3868.721,8.756,12.9,0.909,0.65,0.763,0.767,0.33,,
14037,Jalisco,El Grullo,25920,3721.577,8.228,11.895,0.864,0.605,0.757,0.734,0.34,,
14038,Jalisco,Guachinango,4199,2898.904,7.146,11.82,0.89,0.567,0.719,0.713,0.41,,
14039,Jalisco,Guadalajara,1385629,4842.356,10.862,13.571,0.919,0.739,0.797,0.815,0.34,,
14040,Jalisco,Hostotipaquillo,8732,2390.544,6.635,10.899,0.862,0.524,0.69,0.678,0.43,,
14041,Jalisco,Huejúcar,5920,3913.591,6.904,13.193,0.843,0.597,0.765,0.727,0.4,,
14042,Jalisco,Huejuquilla el Alto,10015,3514.701,6.856,11.811,0.866,0.557,0.748,0.712,0.4,,
14043,Jalisco,La Huerta,23258,3935.724,6.873,11.734,0.84,0.555,0.765,0.709,0.35,,
14044,Jalisco,Ixtlahuacán de los Membrillos,67969,3617.655,8.631,11.08,0.836,0.595,0.753,0.721,0.31,,
14045,Jalisco,Ixtlahuacán del Río,20465,3556.254,7.146,11.855,0.835,0.567,0.75,0.708,0.37,,
14046,Jalisco,Jalostotitlán,32678,3691.262,7.295,10.581,0.911,0.537,0.756,0.718,0.33,,
14047,Jalisco,Jamay,24894,3505.361,7.794,12.001,0.863,0.593,0.748,0.726,0.32,,
14048,Jalisco,Jesús María,18982,3515.109,5.561,9.772,0.842,0.457,0.748,0.66,0.34,,
14049,Jalisco,Jilotlán de los Dolores,9425,2476.675,5.581,9.856,0.869,0.46,0.695,0.652,0.39,,
14050,Jalisco,Jocotepec,47105,3726.164,7.976,10.657,0.901,0.562,0.757,0.726,0.35,,
14051,Jalisco,Juanacatlán,30855,3862.188,8.949,12.059,0.872,0.633,0.763,0.75,0.31,,
14052,Jalisco,Juchitlán,5534,3549.43,7.065,11.681,0.85,0.56,0.75,0.709,0.41,,
14053,Jalisco,Lagos de Moreno,172403,3579.69,7.791,11.579,0.896,0.581,0.751,0.731,0.34,,
14054,Jalisco,El Limón,5368,4633.727,8.044,13.042,0.91,0.63,0.79,0.768,0.36,,
14055,Jalisco,Magdalena,21781,3773.853,8.209,12.791,0.877,0.629,0.759,0.748,0.32,,
14056,Jalisco,Santa María del Oro,1815,2455.816,5.168,10.686,0.845,0.469,0.694,0.65,0.42,,
14057,Jalisco,La Manzanilla de la Paz,4099,4213.788,7.429,11.251,0.884,0.56,0.776,0.727,0.36,,
14058,Jalisco,Mascota,14451,4042.362,7.991,11.923,0.705,0.598,0.769,0.687,0.37,,
14059,Jalisco,Mazamitla,14043,3540.657,7.719,11.289,0.896,0.571,0.749,0.726,0.34,,
14060,Jalisco,Mexticacán,5307,2929.835,6.688,10.754,0.863,0.522,0.721,0.687,0.38,,
14061,Jalisco,Mezquitic,22083,1484.791,5.056,9.585,0.71,0.435,0.618,0.576,0.64,,
14062,Jalisco,Mixtlán,3638,4171.769,7.059,11.826,0.872,0.564,0.774,0.725,0.37,,
14063,Jalisco,Ocotlán,106050,4407.902,9.247,13.11,0.818,0.672,0.783,0.755,0.34,,
14064,Jalisco,Ojuelos de Jalisco,33588,3298.68,6.806,10.26,0.873,0.512,0.739,0.691,0.36,,
14065,Jalisco,Pihuamo,11386,3531.521,6.003,11.191,0.878,0.511,0.749,0.695,0.33,,
14066,Jalisco,Poncitlán,53659,3747.936,7.67,11.11,0.825,0.564,0.758,0.707,0.35,,
14067,Jalisco,Puerto Vallarta,291839,4072.272,9.761,12.711,0.864,0.678,0.771,0.767,0.32,,
14068,Jalisco,Villa Purificación,11303,3374.099,6.236,11.174,0.869,0.518,0.742,0.694,0.36,,
14069,Jalisco,Quitupan,7734,2465.79,5.599,9.821,0.867,0.459,0.695,0.652,0.42,,
14070,Jalisco,El Salto,232852,3568.478,8.701,11.167,0.887,0.6,0.751,0.737,0.32,,
14071,Jalisco,San Cristóbal de la Barranca,2924,2938.416,6.111,11.116,0.846,0.512,0.721,0.679,0.38,,
14072,Jalisco,San Diego de Alejandría,7609,3937.426,6.484,10.95,0.858,0.52,0.765,0.699,0.38,,
14073,Jalisco,San Juan de los Lagos,72230,3986.794,7.991,11.296,0.9,0.58,0.767,0.737,0.32,,
14074,Jalisco,San Julián,16792,4527.197,6.908,10.862,0.888,0.532,0.787,0.719,0.35,,
14075,Jalisco,San Marcos,3791,4006.318,8.421,12.626,0.883,0.631,0.768,0.754,0.39,,
14076,Jalisco,San Martín de Bolaños,3095,3289.236,6.761,11.696,0.885,0.55,0.738,0.711,0.4,,
14077,Jalisco,San Martín Hidalgo,28102,3721.287,8.313,12.628,0.906,0.628,0.757,0.755,0.36,,
14078,Jalisco,San Miguel el Alto,31965,3948.18,6.929,10.788,0.888,0.531,0.766,0.712,0.34,,
14079,Jalisco,Gómez Farías,16431,3584.977,7.246,12.489,0.845,0.588,0.751,0.72,0.32,,
14080,Jalisco,San Sebastián del Oeste,5086,2782.738,7.12,12.09,0.84,0.573,0.713,0.7,0.41,,
14081,Jalisco,Santa María de los Ángeles,3515,2417.791,6.376,12.131,0.856,0.55,0.692,0.688,0.43,,
14082,Jalisco,Sayula,37186,3856.448,8.656,12.407,0.873,0.633,0.762,0.75,0.31,,
14083,Jalisco,Tala,87690,4089.16,8.576,11.798,0.856,0.614,0.771,0.74,0.31,,
14084,Jalisco,Talpa de Allende,14997,3712.08,7.641,12.089,0.843,0.59,0.757,0.722,0.35,,
14085,Jalisco,Tamazula de Gordiano,38955,4172.463,7.561,11.693,0.904,0.577,0.774,0.739,0.32,,
14086,Jalisco,Tapalpa,21245,2863.509,6.703,10.425,0.858,0.513,0.717,0.681,0.34,,
14087,Jalisco,Tecalitlán,16705,3920.424,7.43,11.969,0.817,0.58,0.765,0.713,0.33,,
14088,Jalisco,Tecolotlán,16603,3809.419,8.094,12.365,0.857,0.613,0.761,0.737,0.34,,
14089,Jalisco,Techaluta de Montenegro,4072,3552.036,7.505,12.415,0.889,0.595,0.75,0.735,0.36,,
14090,Jalisco,Tenamaxtlán,7302,3805.009,7.699,13.326,0.87,0.627,0.76,0.745,0.39,,
14091,Jalisco,Teocaltiche,39839,3593.408,6.961,10.895,0.897,0.535,0.752,0.712,0.34,,
14092,Jalisco,Teocuitatlán de Corona,11039,3205.666,6.725,11.871,0.874,0.554,0.734,0.708,0.36,,
14093,Jalisco,Tepatitlán de Morelos,150190,4310.656,9.005,12.234,0.889,0.64,0.779,0.762,0.33,,
14094,Jalisco,Tequila,44353,3764.39,8.741,11.957,0.896,0.623,0.759,0.751,0.35,,
14095,Jalisco,Teuchitlán,9647,4667.241,7.998,13.223,0.914,0.634,0.791,0.771,0.35,,
14096,Jalisco,Tizapán el Alto,22758,3461.406,6.771,9.739,0.879,0.496,0.746,0.688,0.33,,
14097,Jalisco,Tlajomulco de Zúñiga,727750,3952.214,10.001,11.914,0.894,0.664,0.766,0.769,0.32,,
14098,Jalisco,San Pedro Tlaquepaque,687127,4539.161,10.205,12.489,0.917,0.687,0.787,0.792,0.33,,
14099,Jalisco,Tolimán,11219,2933.614,6.908,11.235,0.887,0.542,0.721,0.703,0.35,,
14100,Jalisco,Tomatlán,36316,3307.443,6.906,11.052,0.885,0.537,0.739,0.706,0.34,,
14101,Jalisco,Tonalá,569913,3799.05,9.322,12.42,0.897,0.656,0.76,0.765,0.31,,
14102,Jalisco,Tonaya,5961,4259.283,7.474,12.311,0.862,0.591,0.777,0.734,0.36,,
14103,Jalisco,Tonila,7565,4295.745,8.06,12.909,0.888,0.627,0.779,0.757,0.34,,
14104,Jalisco,Totatiche,4180,3191.355,7.493,13.049,0.894,0.612,0.734,0.738,0.39,,
14105,Jalisco,Tototlán,23573,3578.871,7.048,10.773,0.866,0.534,0.751,0.703,0.34,,
14106,Jalisco,Tuxcacuesco,5482,3185.679,6.483,11.807,0.883,0.544,0.733,0.706,0.37,,
14107,Jalisco,Tuxcueca,6702,3255.484,7.332,11.116,0.879,0.553,0.737,0.71,0.39,,
14108,Jalisco,Tuxpan,37518,3817.904,8.753,12.734,0.884,0.645,0.761,0.757,0.33,,
14109,Jalisco,Unión de San Antonio,19069,3625.853,6.592,11.376,0.861,0.536,0.753,0.703,0.33,,
14110,Jalisco,Unión de Tula,13799,4131.484,8.383,12.648,0.89,0.631,0.773,0.757,0.37,,
14111,Jalisco,Valle de Guadalupe,6627,4572.609,7.561,10.654,0.892,0.548,0.788,0.728,0.34,,
14112,Jalisco,Valle de Juárez,6151,3911.763,6.95,10.561,0.825,0.525,0.765,0.692,0.4,,
14113,Jalisco,San Gabriel,16548,3215.998,7.008,10.925,0.657,0.537,0.735,0.638,0.34,,
14114,Jalisco,Villa Corona,19063,3761.723,7.984,11.748,0.846,0.592,0.759,0.724,0.31,,
14115,Jalisco,Villa Guerrero,5525,3719.512,6.763,11.7,0.875,0.55,0.757,0.714,0.44,,
14116,Jalisco,Villa Hidalgo,20088,3774.834,7.145,11.133,0.904,0.547,0.759,0.722,0.34,,
14117,Jalisco,Cañadas de Obregón,4388,4322.982,6.25,10.729,0.87,0.506,0.78,0.7,0.36,,
14118,Jalisco,Yahualica de González Gallo,22394,3968.746,7.11,11.284,0.829,0.55,0.767,0.705,0.35,,
14119,Jalisco,Zacoalco de Torres,30472,3278.745,7.825,11.428,0.888,0.578,0.738,0.724,0.35,,
14120,Jalisco,Zapopan,1476491,5393.143,11.277,13.407,0.915,0.748,0.813,0.823,0.37,,
14121,Jalisco,Zapotiltic,33713,4044.807,8.329,12.883,0.898,0.635,0.77,0.76,0.32,,
14122,Jalisco,Zapotitlán de Vadillo,7466,3302.035,7.983,12.25,0.856,0.606,0.739,0.727,0.4,,
14123,Jalisco,Zapotlán del Rey,19279,3204.978,6.502,10.975,0.839,0.522,0.734,0.685,0.34,,
14124,Jalisco,Zapotlanejo,64806,3810.511,7.239,11.369,0.892,0.557,0.761,0.723,0.34,,
14125,Jalisco,San Ignacio Cerro Gordo,18341,3865.205,6.286,9.715,0.877,0.479,0.763,0.685,0.34,,
15001,México,Acambay de Ruíz Castañeda,67872,2192.992,7.333,12.282,0.825,0.586,0.677,0.689,0.38,,
15002,México,Acolman,171507,3349.063,9.613,12.704,0.823,0.673,0.741,0.743,0.36,,
15003,México,Aculco,49266,2533.737,7.286,12.286,0.741,0.584,0.699,0.671,0.33,,
15004,México,Almoloya de Alquisiras,15333,2524.036,7.451,12.674,0.73,0.6,0.698,0.674,0.37,,
15005,México,Almoloya de Juárez,174587,2370.841,7.827,12.56,0.801,0.61,0.689,0.696,0.39,,
15006,México,Almoloya del Río,12694,2935,9.46,13.43,0.83,0.688,0.721,0.744,0.36,,
15007,México,Amanalco,23675,2084.544,7.508,12.903,0.721,0.609,0.669,0.665,0.38,,
15008,México,Amatepec,25244,2293.943,6.967,12.57,0.863,0.581,0.684,0.7,0.39,,
15009,México,Amecameca,53441,2770.513,9.858,12.606,0.83,0.679,0.712,0.737,0.38,,
15010,México,Apaxco,31898,3068.645,9.177,13.383,0.887,0.678,0.728,0.759,0.36,,
15011,México,Atenco,75489,2610.714,9.026,12.84,0.846,0.658,0.703,0.731,0.36,,
15012,México,Atizapán,12984,2794.659,9.133,12.643,0.771,0.656,0.714,0.712,0.36,,
15013,México,Atizapán de Zaragoza,523674,4196.01,10.368,13.474,0.874,0.72,0.775,0.787,0.39,,
15014,México,Atlacomulco,109384,2699.331,8.498,12.541,0.793,0.632,0.708,0.708,0.37,,
15015,México,Atlautla,31900,2165.251,8.275,12.182,0.896,0.614,0.675,0.719,0.37,,
15016,México,Axapusco,29128,2555.379,8.344,12.882,0.883,0.636,0.7,0.732,0.33,,
15017,México,Ayapango,10053,3066.273,9.634,13.479,0.819,0.696,0.728,0.746,0.36,,
15018,México,Calimaya,68489,3229.127,9.944,13.123,0.831,0.696,0.736,0.752,0.38,,
15019,México,Capulhuac,36921,3064.296,9.933,12.638,0.837,0.682,0.728,0.746,0.38,,
15020,México,Coacalco de Berriozábal,293444,4445.17,11.405,14.205,0.84,0.775,0.784,0.799,0.35,,
15021,México,Coatepec Harinas,38643,2875.512,7.033,11.123,0.828,0.543,0.718,0.686,0.35,,
15022,México,Cocotitlán,15107,3006.976,10.003,13.3,0.827,0.703,0.725,0.75,0.34,,
15023,México,Coyotepec,40885,2842.501,8.992,12.157,0.88,0.637,0.716,0.738,0.36,,
15024,México,Cuautitlán,178847,4140.63,11.271,13.911,0.793,0.762,0.773,0.776,0.36,,
15025,México,Chalco,400057,2936.147,9.45,11.81,0.876,0.643,0.721,0.741,0.36,,
15026,México,Chapa de Mota,31737,2173.579,7.196,12.71,0.846,0.593,0.676,0.697,0.32,,
15027,México,Chapultepec,12772,3449.889,10.378,13.517,0.84,0.721,0.746,0.768,0.35,,
15028,México,Chiautla,30045,3056.718,9.781,13.309,0.889,0.696,0.727,0.766,0.38,,
15029,México,Chicoloapan,200750,2903.455,9.017,13.157,0.889,0.666,0.719,0.752,0.35,,
15030,México,Chiconcuac,27692,2983.417,10.034,13.637,0.848,0.713,0.724,0.759,0.38,,
15031,México,Chimalhuacán,705193,2503.605,8.622,12.258,0.835,0.628,0.697,0.715,0.36,,
15032,México,Donato Guerra,37436,1696.8,6.434,11.191,0.824,0.525,0.638,0.651,0.4,,
15033,México,Ecatepec de Morelos,1645352,3679.916,10.012,13.526,0.884,0.709,0.755,0.78,0.36,,
15034,México,Ecatzingo,10827,2368.746,8.89,12.71,0.861,0.649,0.689,0.727,0.37,,
15035,México,Huehuetoca,163244,3114.044,9.266,12.268,0.841,0.65,0.73,0.736,0.31,,
15036,México,Hueypoxtla,46757,2441.982,7.708,12.732,0.888,0.611,0.693,0.722,0.34,,
15037,México,Huixquilucan,284965,3711.651,10.623,13.617,0.851,0.732,0.757,0.778,0.41,,
15038,México,Isidro Fabela,11929,3010.127,8.616,13.089,0.894,0.651,0.725,0.75,0.34,,
15039,México,Ixtapaluca,542211,3011.44,9.658,13.203,0.805,0.689,0.725,0.738,0.35,,
15040,México,Ixtapan de la Sal,36911,3183.247,9.439,12.793,0.842,0.67,0.733,0.745,0.36,,
15041,México,Ixtapan del Oro,6475,1453.545,5.849,9.512,0.84,0.459,0.615,0.619,0.39,,
15042,México,Ixtlahuaca,160139,2199.763,7.638,12.776,0.831,0.61,0.678,0.7,0.37,,
15043,México,Xalatlaco,30687,2445.218,8.893,12.476,0.761,0.643,0.694,0.698,0.39,,
15044,México,Jaltenco,28217,3164.553,9.673,13.373,0.819,0.694,0.732,0.746,0.33,,
15045,México,Jilotepec,87671,2926.825,8.687,13.639,0.893,0.668,0.721,0.755,0.36,,
15046,México,Jilotzingo,19877,3187.207,9.033,13.137,0.816,0.666,0.734,0.736,0.34,,
15047,México,Jiquipilco,76826,1978.635,7.374,12.584,0.845,0.595,0.662,0.693,0.36,,
15048,México,Jocotitlán,69264,2812.921,8.9,14.276,0.865,0.693,0.715,0.754,0.35,,
15049,México,Joquicingo,15428,2158.603,7.955,12.301,0.904,0.607,0.675,0.718,0.34,,
15050,México,Juchitepec,27116,2565.581,8.506,12.275,0.851,0.624,0.701,0.72,0.35,,
15051,México,Lerma,170327,4108.66,11.412,14.132,0.867,0.773,0.772,0.803,0.39,,
15052,México,Malinalco,28155,2353.052,7.229,11.954,0.796,0.573,0.688,0.679,0.39,,
15053,México,Melchor Ocampo,61220,3083.617,9.502,12.69,0.847,0.669,0.729,0.745,0.35,,
15054,México,Metepec,242307,4548.387,11.869,14.315,0.885,0.793,0.787,0.821,0.4,,
15055,México,Mexicaltzingo,13807,3329.845,9.821,13.076,0.883,0.691,0.74,0.767,0.39,,
15056,México,Morelos,33164,1991.089,6.938,11.781,0.865,0.559,0.663,0.684,0.39,,
15057,México,Naucalpan de Juárez,834434,3880.645,10.554,13.379,0.851,0.723,0.763,0.777,0.39,,
15058,México,Nezahualcóyotl,1077208,3497.943,10.281,13.886,0.872,0.728,0.748,0.78,0.37,,
15059,México,Nextlalpan,57082,3090.093,9.539,12.273,0.828,0.659,0.729,0.735,0.34,,
15060,México,Nicolás Romero,430601,3161.532,9.593,13.509,0.87,0.695,0.732,0.762,0.35,,
15061,México,Nopaltepec,10351,3002.076,8.943,12.66,0.844,0.65,0.725,0.735,0.33,,
15062,México,Ocoyoacac,72103,3355.76,10.12,13.777,0.875,0.72,0.741,0.776,0.37,,
15063,México,Ocuilan,36223,2029.396,7.472,12.221,0.87,0.589,0.665,0.698,0.34,,
15064,México,El Oro,36937,2230.571,8.219,12.905,0.824,0.632,0.68,0.708,0.38,,
15065,México,Otumba,36331,2689.288,8.778,12.293,0.869,0.634,0.708,0.731,0.35,,
15066,México,Otzoloapan,4891,1980.478,6.173,12.469,0.869,0.552,0.662,0.682,0.38,,
15067,México,Otzolotepec,88783,2596.408,8.469,12.567,0.831,0.631,0.703,0.717,0.37,,
15068,México,Ozumba,30785,2434.479,8.468,11.823,0.891,0.611,0.693,0.722,0.37,,
15069,México,Papalotla,4862,3864.033,10.468,13.534,0.886,0.725,0.763,0.788,0.41,,
15070,México,La Paz,304088,2809.194,9.172,12.666,0.822,0.658,0.714,0.728,0.36,,
15071,México,Polotitlán,14985,2637.545,7.988,12.877,0.844,0.624,0.705,0.719,0.34,,
15072,México,Rayón,15972,3079.473,9.677,13.169,0.893,0.688,0.728,0.765,0.33,,
15073,México,San Antonio la Isla,31962,3451.588,10.583,13.741,0.837,0.734,0.746,0.771,0.36,,
15074,México,San Felipe del Progreso,144924,2041.117,7.027,12.169,0.741,0.572,0.666,0.656,0.41,,
15075,México,San Martín de las Pirámides,29182,3186.032,9.324,12.847,0.872,0.668,0.734,0.753,0.36,,
15076,México,San Mateo Atenco,97418,3136.033,9.755,13.174,0.846,0.691,0.731,0.753,0.4,,
15077,México,San Simón de Guerrero,6692,2174.022,7.63,12.829,0.865,0.611,0.676,0.709,0.38,,
15078,México,Santo Tomás,9729,2398.29,7.542,11.536,0.857,0.572,0.691,0.697,0.38,,
15079,México,Soyaniquilpan de Juárez,14323,2668.476,8.239,13.396,0.897,0.647,0.707,0.743,0.33,,
15080,México,Sultepec,24145,2271.168,6.782,12.16,0.742,0.564,0.682,0.658,0.41,,
15081,México,Tecámac,547503,3773.351,10.416,13.485,0.881,0.722,0.759,0.784,0.35,,
15082,México,Tejupilco,79282,2701.142,7.57,12.114,0.837,0.589,0.709,0.704,0.41,,
15083,México,Temamatla,14130,2877.964,9.104,11.105,0.882,0.612,0.718,0.729,0.34,,
15084,México,Temascalapa,43593,2681.047,8.443,12.69,0.89,0.634,0.707,0.736,0.34,,
15085,México,Temascalcingo,66414,2108.015,7.033,12.236,0.843,0.574,0.671,0.688,0.38,,
15086,México,Temascaltepec,35014,2081.458,7.381,12.257,0.819,0.587,0.669,0.685,0.37,,
15087,México,Temoaya,105766,2362.83,8.174,12.227,0.745,0.612,0.688,0.679,0.37,,
15088,México,Tenancingo,104677,2739.429,8.814,12.434,0.783,0.639,0.711,0.709,0.38,,
15089,México,Tenango del Aire,11359,2857.758,9.335,13.059,0.807,0.674,0.717,0.731,0.34,,
15090,México,Tenango del Valle,90518,2334.96,8.34,12.51,0.831,0.625,0.687,0.709,0.38,,
15091,México,Teoloyucan,65459,3130.521,9.461,12.776,0.882,0.67,0.731,0.756,0.34,,
15092,México,Teotihuacán,58507,3183.227,9.628,13.623,0.875,0.699,0.733,0.765,0.36,,
15093,México,Tepetlaoxtoc,32564,2988.356,9.393,13.06,0.857,0.676,0.724,0.749,0.34,,
15094,México,Tepetlixpa,20500,2548.766,8.893,12.672,0.808,0.648,0.7,0.716,0.36,,
15095,México,Tepotzotlán,103696,3361.453,9.504,12.817,0.815,0.673,0.742,0.741,0.35,,
