clave,entidad,municipio,poblacion,ing_corr_tot_pc,anios_esc_mean,anios_esc_esp,ss_subin_salud,se_subin_educ,si_subin_ing,idh,gini,,
07091,Chiapas,Tapilula,13592,2321.608,7.87,12.249,0.782,0.603,0.686,0.686,0.35,,
07092,Chiapas,Tecpatán,21426,1622.653,5.493,11.21,0.817,0.495,0.632,0.634,0.32,,
07093,Chiapas,Tenejapa,48162,816.277,4.874,9.511,0.831,0.427,0.528,0.572,0.34,,
07094,Chiapas,Teopisca,49499,1424.859,4.56,8.65,0.825,0.392,0.612,0.583,0.38,,
07096,Chiapas,Tila,83505,852.011,5.041,10.615,0.721,0.463,0.534,0.563,0.34,,
07097,Chiapas,Tonalá,91913,2683.838,8.467,12.418,0.85,0.627,0.708,0.723,0.37,,
07098,Chiapas,Totolapa,7211,1359.574,4.964,9.958,0.77,0.442,0.605,0.59,0.31,,
07099,Chiapas,La Trinitaria,83111,1413.525,5.656,10.205,0.835,0.472,0.611,0.622,0.34,,
07100,Chiapas,Tumbalá,38025,948.022,5.038,10.812,0.697,0.468,0.55,0.564,0.37,,
07101,Chiapas,Tuxtla Gutiérrez,604147,3711.086,10.658,13.802,0.853,0.739,0.757,0.781,0.37,,
07102,Chiapas,Tuxtla Chico,41024,2443.421,7.954,12.428,0.825,0.61,0.693,0.704,0.36,,
07103,Chiapas,Tuzantán,30302,2111.617,6.92,11.113,0.832,0.539,0.671,0.67,0.33,,
07104,Chiapas,Tzimol,16560,2010.661,5.888,10.822,0.792,0.497,0.664,0.639,0.32,,
07105,Chiapas,Unión Juárez,16008,2123.662,7.474,12.278,0.779,0.59,0.672,0.676,0.34,,
07106,Chiapas,Venustiano Carranza,67292,1569.552,4.984,9.505,0.682,0.43,0.627,0.569,0.36,,
07107,Chiapas,Villa Corzo,65643,1816.944,6.709,11.106,0.837,0.532,0.649,0.661,0.35,,
07108,Chiapas,Villaflores,109536,2465.983,7.724,12.087,0.837,0.593,0.695,0.701,0.37,,
07109,Chiapas,Yajalón,40285,1292.25,5.374,9.911,0.768,0.454,0.597,0.593,0.47,,
07110,Chiapas,San Lucas,7526,1674.507,4.454,9.716,0.753,0.418,0.636,0.585,0.34,,
07111,Chiapas,Zinacantán,45373,1042.179,3.65,7.609,0.718,0.333,0.565,0.513,0.35,,
07112,Chiapas,San Juan Cancuc,37948,666.419,4.173,9.612,0.684,0.406,0.497,0.517,0.36,,
07113,Chiapas,Aldama,8480,678.405,4.671,8.911,0.554,0.403,0.5,0.482,0.35,,
07114,Chiapas,Benemérito de las Américas,23603,1979.93,5.742,9.957,0.797,0.468,0.662,0.627,0.32,,
07115,Chiapas,Maravilla Tenejapa,14714,929.22,4.737,8.855,0.758,0.404,0.547,0.551,0.37,,
07116,Chiapas,Marqués de Comillas,12892,1610.573,4.916,10.396,0.813,0.453,0.63,0.614,0.31,,
07117,Chiapas,Montecristo de Guerrero,8412,1306.563,5.166,10.804,0.78,0.472,0.599,0.604,0.3,,
07118,Chiapas,San Andrés Duraznal,6047,640.496,3.796,8.11,0.586,0.352,0.491,0.466,0.37,,
07119,Chiapas,Santiago el Pinar,4959,831.64,4.049,10.936,0.642,0.439,0.531,0.531,0.32,,
08001,Chihuahua,Ahumada,14635,3610.194,6.894,9.419,0.846,0.491,0.752,0.679,0.33,,
08002,Chihuahua,Aldama,26047,4303.749,9.174,12.116,0.875,0.642,0.779,0.759,0.34,,
08003,Chihuahua,Allende,8487,4007.726,8.893,13.497,0.852,0.671,0.768,0.76,0.33,,
08004,Chihuahua,Aquiles Serdán,24344,3625.308,9.143,11.223,0.878,0.617,0.753,0.741,0.31,,
08005,Chihuahua,Ascensión,26093,3885.283,7.254,10.372,0.815,0.53,0.763,0.691,0.35,,
08006,Chihuahua,Bachíniva,5807,4546.871,6.739,11.614,0.878,0.547,0.787,0.723,0.3,,
08007,Chihuahua,Balleza,16440,2075.164,4.795,8.363,0.624,0.392,0.669,0.547,0.46,,
08008,Chihuahua,Batopilas de Manuel Gómez Morín,11270,840.275,3.159,7.221,0.584,0.306,0.532,0.456,0.51,,
08009,Chihuahua,Bocoyna,23351,2403.463,6.591,10.854,0.709,0.521,0.691,0.634,0.44,,
08010,Chihuahua,Buenaventura,25146,3417.94,7.225,9.621,0.75,0.508,0.744,0.657,0.37,,
08011,Chihuahua,Camargo,49499,4191.694,9.008,12.293,0.766,0.642,0.775,0.725,0.33,,
08012,Chihuahua,Carichí,8113,2362.383,4.356,7.285,0.712,0.348,0.688,0.554,0.41,,
08013,Chihuahua,Casas Grandes,11815,3791.66,8.018,12.275,0.867,0.608,0.76,0.737,0.34,,
08014,Chihuahua,Coronado,2034,3513.466,7.565,11.955,0.901,0.584,0.748,0.733,0.3,,
08015,Chihuahua,Coyame del Sotol,1230,3676.408,6.466,10.052,0.7,0.495,0.755,0.639,0.32,,
08016,Chihuahua,La Cruz,3704,4050.778,7.906,12.431,0.89,0.609,0.77,0.747,0.3,,
08017,Chihuahua,Cuauhtémoc,180638,4752.804,9.047,11.794,0.864,0.629,0.794,0.756,0.34,,
08018,Chihuahua,Cusihuiriachi,5099,3160.777,6.101,9.08,0.751,0.456,0.732,0.63,0.32,,
08019,Chihuahua,Chihuahua,937674,6154.116,11.581,14.709,0.9,0.795,0.833,0.842,0.37,,
08020,Chihuahua,Chínipas,6222,2496.619,6.465,11.306,0.571,0.53,0.697,0.595,0.38,,
08021,Chihuahua,Delicias,150506,4596.172,9.97,13.331,0.877,0.703,0.789,0.786,0.34,,
08022,Chihuahua,Dr. Belisario Domínguez,2456,2908.584,6.213,10.409,0.775,0.496,0.72,0.652,0.33,,
08023,Chihuahua,Galeana,6656,3542.574,7.017,10.54,0.826,0.527,0.75,0.689,0.31,,
